cid,smiles,mw,homo,mol,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
194053,[O-][N+](=O)NCCN,105.09588,-10.2584200499995,<rdkit.Chem.rdchem.Mol object at 0x131ddd9a0>,9.397083333333335,9.397083333333335,0.22916666666666652,-0.6181944444444447,0.3459659283066296,8.142857142857142,105.09700000000002,98.041,105.053826464,42,0,0.15708826551359636,-0.3285126499839111,0.3285126499839111,0.15708826551359636,1.8571428571428572,2.4285714285714284,2.5714285714285716,16.667566530989422,10.693003043571254,1.8541192124960322,-1.8800722683009856,1.5185928941710611,-2.270534368418852,4.295836606464983,-0.5431492496034466,1.6121972227029933,2.8219389370591843,63.955246978201394,5.698670612749268,3.755274007990405,3.755274007990405,3.270055610029662,1.8505568504772265,1.8505568504772265,0.9538988026882802,0.9538988026882802,0.3852404110459764,0.3852404110459764,0.15583681535431795,0.15583681535431795,-0.8400000000000001,29.01955000865388,6.16,3.3537984496124036,5.16,40.61705776558169,5.733667477162185,0.0,5.0323138419217255,0.0,0.0,0.0,0.0,10.114318268765572,0.0,5.425791397110385,0.0,0.0,6.544756405912575,6.544756405912575,5.0323138419217255,0.0,0.0,5.425791397110385,5.733667477162185,0.0,13.08951281182515,10.114318268765572,0.0,0.0,11.15945887427257,0.0,0.0,0.0,18.121826653746876,0.0,10.114318268765572,0.0,0.0,0.0,0.0,0.0,81.19,5.0323138419217255,10.114318268765572,0.0,6.544756405912575,6.544756405912575,0.0,0.0,0.0,5.425791397110385,0.0,5.733667477162185,0.0,0.0,9.397083333333335,8.77888888888889,6.8022222222222215,0.0,0.0,0.0,0.5218055555555554,0.0,1.0,7,3,5,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,0,0,0,0,2.951342635658915,0,-1.2735999999999998,24.0515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170434,CCN(CC(=O)O)N=O,132.11792,-10.3547483530765,<rdkit.Chem.rdchem.Mol object at 0x131ddd460>,9.886944444444445,9.886944444444445,0.31944444444444464,-1.0449537037037036,0.4338652814170438,8.555555555555555,132.119,124.05499999999998,132.053492116,52,0,0.32449891747457993,-0.47987723759640755,0.47987723759640755,0.32449891747457993,1.7777777777777777,2.3333333333333335,2.4444444444444446,16.369878188644794,10.579710533932781,2.029540846912418,-2.0637599315480846,1.8464276398773884,-2.2314666700452284,5.684509021878423,-0.13780903953969087,1.822759080813784,3.5505840403210986,114.38037532843023,7.276020881938894,5.072350929800695,5.072350929800695,4.201907262607799,2.5034208326304634,2.5034208326304634,1.4561793605659805,1.4561793605659805,0.7982726853743027,0.7982726853743027,0.3545397757733622,0.3545397757733622,-1.13,80.20139955580649,7.870000000000001,3.8219365677003534,3.4522416302765655,52.21453489792797,5.106527394840706,6.544756405912575,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,5.008912523954531,0.0,4.907065243988282,0.0,6.923737199690624,6.544756405912575,5.2858847209627084,9.901064578912528,5.9693052879518484,0.0,5.008912523954531,5.2858847209627084,6.923737199690624,13.08951281182515,4.907065243988282,0.0,0.0,0.0,0.0,0.0,0.0,29.174258018572232,4.794537184071822,4.907065243988282,6.923737199690624,5.2858847209627084,0.0,0.0,0.0,69.97,5.9693052879518484,9.701602428060104,0.0,6.544756405912575,6.544756405912575,5.008912523954531,0.0,6.923737199690624,0.0,5.2858847209627084,5.106527394840706,0.0,0.0,19.57111111111111,11.473703703703704,0.0,-1.0449537037037036,0.0,0.0,1.6668055555555554,0.0,0.75,9,1,5,0,0,0,0,0,0,0,0,0,3,1,5,0,4,0,0,0,0,0,3.3420711986446427,0,0.07429999999999998,30.67779999999999,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107666,O=NN=C(N([N+](=O)[O-])C)N,147.0928,-9.281803440555,<rdkit.Chem.rdchem.Mol object at 0x131dddd90>,9.842500000000001,9.842500000000001,0.37638888888888866,-0.8293518518518521,0.17863284136984325,10.7,147.094,142.054,147.03923902,56,0,0.2810033242698767,-0.3635630434630484,0.3635630434630484,0.2810033242698767,1.8,2.3,2.6,16.677660959550707,10.939615540941933,2.108705475132868,-2.0207951236393162,1.8124856007177013,-2.374243452000594,5.756743364735376,-0.6225823379878271,1.8658354318133221,4.194826225388541,175.73187676776786,8.146264369941973,5.090949522581047,5.090949522581047,4.59142281507558,2.130824883099895,2.130824883099895,1.3012902610254509,1.3012902610254509,0.7197860211362014,0.7197860211362014,0.19020429341916714,0.19020429341916714,-1.73,121.27930306786594,8.27,3.3259064106995107,2.0264192526959985,55.38721974250259,5.733667477162185,0.0,5.0323138419217255,0.0,5.959554568743835,0.0,0.0,10.114318268765572,0.0,4.907065243988282,10.110320049694252,0.0,0.0,12.333556703639898,5.0323138419217255,5.959554568743835,0.0,5.008912523954531,16.120959723864615,0.0,7.04767198267719,15.021383512753854,0.0,0.0,5.733667477162185,0.0,0.0,0.0,23.04845291729728,0.0,15.021383512753854,0.0,10.38729224670243,0.0,0.0,0.0,114.19,10.99186841066556,15.021383512753854,0.0,0.0,5.008912523954531,7.04767198267719,0.0,0.0,5.2858847209627084,5.101407525739722,5.733667477162185,0.0,0.0,19.21805555555556,14.089351851851852,4.869166666666667,-0.5555555555555551,0.0,0.0,0.0,1.045648148148148,0.5,10,2,8,0,0,0,0,0,0,0,0,0,4,1,8,0,2,0,0,0,0,0,2.750524601648495,0,-0.8939999999999999,32.1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153173,COCN(CC(C)C)N=O,146.18756,-9.3789480851835,<rdkit.Chem.rdchem.Mol object at 0x131ddd3f0>,10.026388888888889,10.026388888888889,0.2794444444444444,0.2794444444444444,0.3325764673274621,10.0,146.18999999999997,132.078,146.105527688,60,0,0.13718209815837565,-0.3627489059887307,0.3627489059887307,0.13718209815837565,1.6,2.2,2.5,16.485269101680135,10.213017821562751,2.0273728503566555,-2.147609919564556,1.9723792170618932,-2.2327148503353333,4.48888786210759,0.056151046191249845,1.861080092695451,3.4892055867249527,95.74860596185444,7.983127663125442,6.702487603490363,6.702487603490363,4.701907262607799,3.2749019717705226,3.2749019717705226,2.5822947837381713,2.5822947837381713,0.9694890931844599,0.9694890931844599,0.6801285128115545,0.6801285128115545,-0.6400000000000001,130.27560648868158,9.36,5.169043757761705,4.259704677090726,61.10220850398829,4.736862953800049,6.730816747499484,0.0,0.0,0.0,0.0,0.0,5.008912523954531,0.0,4.907065243988282,13.847474399381248,5.917906046161393,13.65455394719011,5.2858847209627084,4.736862953800049,0.0,0.0,5.008912523954531,11.2037907671241,13.847474399381248,20.385370694689595,4.907065243988282,0.0,0.0,0.0,0.0,0.0,0.0,25.394283218644127,4.736862953800049,10.824971290149676,13.847474399381248,5.2858847209627084,0.0,0.0,0.0,41.9,0.0,4.907065243988282,0.0,6.730816747499484,12.462662452073968,0.0,5.008912523954531,7.109797541277533,13.847474399381248,5.2858847209627084,4.736862953800049,4.727916666666667,0.0,10.026388888888889,4.128101851851852,0.0,0.437824074074074,0.0,0.0,4.972916666666666,1.5401851851851853,1.0,10,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,4.838224957264956,0,1.2297,39.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125042,CC(=O)C(=O)NN,102.09194,-10.067668240799,<rdkit.Chem.rdchem.Mol object at 0x131ddf370>,9.925925925925926,9.925925925925926,0.5810185185185184,-0.7638888888888886,0.18429139525003266,7.714285714285714,102.093,96.045,102.042927432,40,0,0.30042285712829075,-0.2889938126884057,0.30042285712829075,0.2889938126884057,1.5714285714285714,2.0,2.0,16.183236493812366,10.438431729842627,2.004310953432185,-1.8646550318718662,1.6112178014111374,-2.342010835654614,6.34440403249775,-0.13620781603854307,1.6457113704075785,3.577919926272439,99.10802962390817,5.861807319565799,3.893846850117352,3.893846850117352,3.1807392125526213,1.696923425058676,1.696923425058676,1.0296479303772352,1.0296479303772352,0.45085412433819755,0.45085412433819755,0.10163156619814272,0.10163156619814272,-0.9000000000000001,27.977093296928835,6.1,2.303977425423273,1.8843137254901956,40.65206835756602,0.0,0.0,0.0,5.783244946364939,0.0,5.907179729351506,15.01486576525403,5.842670270266239,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.589074368143644,11.690424675716445,0.0,5.425791397110385,5.842670270266239,6.923737199690624,0.0,0.0,0.0,0.0,11.268461667376624,0.0,0.0,0.0,11.690424675716445,9.589074368143644,0.0,6.923737199690624,0.0,0.0,0.0,0.0,72.19,11.690424675716445,9.589074368143644,0.0,0.0,0.0,6.923737199690624,0.0,5.425791397110385,0.0,5.842670270266239,0.0,0.0,0.0,19.80865740740741,0.0,1.675925925925926,3.2076851851851855,0.0,0.0,1.1410648148148148,0.0,0.3333333333333333,7,3,4,0,0,0,1,0,0,0,0,0,3,2,4,0,1,0,0,0,0,0,2.007751756440281,0,-1.4346999999999994,23.0111,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198567,C([2H])(N(N=O)C)(CCC)[2H],118.173903556,-9.397723940868,<rdkit.Chem.rdchem.Mol object at 0x131ddf220>,9.862249149659863,9.862249149659863,0.3286111111111112,-1.5868055555555554,0.4126048751119551,14.25,118.17620355599999,104.06799999999998,118.10751649599999,48,0,0.05207389472832066,-0.26396214358569814,0.26396214358569814,0.05207389472832066,1.875,2.5,2.875,16.28936440782562,10.332567478156998,1.8877651966463442,-2.0417838910301844,1.8924413066723629,-2.099334338242208,4.401297641807129,0.34198488035971025,1.86048223732115,3.942678475990941,118.21557829204971,8.198670612749268,7.216889043836874,5.216889043836874,4.54204064721467,3.6140547508648133,2.6140547508648133,1.5133703388511703,1.5133703388511703,0.713102447141222,0.713102447141222,0.30247431120946017,0.30247431120946017,-0.6000000000000001,113.48941647659015,4.295691609977324,4.5562499999999995,3.5851851851851855,52.43366216042043,0.0,0.0,0.0,0.0,0.0,0.0,5.008912523954531,0.0,0.0,4.907065243988282,13.344558822616634,6.4208216229260096,13.544531666993134,8.027401833303148,2.7415171123404405,0.0,0.0,5.008912523954531,5.2858847209627084,19.765380445542643,13.544531666993134,4.907065243988282,0.0,0.0,0.0,0.0,0.0,0.0,18.553444190947666,0.0,4.907065243988282,22.506897557883082,5.2858847209627084,0.0,0.0,0.0,32.67,6.496859684315945,4.907065243988282,0.0,0.0,12.841643245852019,5.008912523954531,7.04767198267719,0.0,6.923737199690624,5.2858847209627084,2.7415171123404405,14.461944444444445,0.0,9.862249149659863,3.289166666666667,0.0,0.0,0.0,1.0298611111111111,0.2708064058956918,1.3359722222222223,1.0,8,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,2.4465306122448975,0,1.3997,33.33299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204353,CN1N(C)Cc2c1cccc2,148.20498,-8.178109662927,<rdkit.Chem.rdchem.Mol object at 0x131ddf300>,2.199074074074074,2.199074074074074,1.0343981481481481,1.0343981481481481,0.5496020979934435,17.09090909090909,148.209,136.11299999999997,148.100048384,58,0,0.05641350458260792,-0.3084927324757402,0.3084927324757402,0.05641350458260792,1.1818181818181819,1.9090909090909092,2.6363636363636362,15.617773042925592,10.177859249644507,2.1845659853964445,-2.204657823746671,2.2712723535149246,-2.2917692594539063,5.546118000440522,0.34469319630778206,2.296848604041449,2.465059293301796,270.02017257091023,7.8449349826912425,6.9109350489449675,6.9109350489449675,5.287693700234704,3.8151654145496336,3.8151654145496336,2.968082134677581,2.968082134677581,2.2515551674180108,2.2515551674180108,1.4967364725608407,1.4967364725608407,-1.02,519.0877845133675,6.675419059658063,2.239383992192995,0.9055903911323141,67.01020166979927,5.008912523954531,0.0,0.0,0.0,0.0,0.0,0.0,5.008912523954531,0.0,0.0,18.19910120538483,11.629818560158606,20.640100371266954,5.687386274683562,0.0,5.687386274683562,0.0,5.008912523954531,0.0,6.544756405912575,19.10425648930891,29.828919765543436,0.0,0.0,5.008912523954531,5.687386274683562,0.0,0.0,19.10425648930891,6.544756405912575,0.0,5.563451491696996,24.26546827384644,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,6.544756405912575,11.250837766380558,0.0,0.0,48.37863728710988,0.0,0.0,0.0,0.0,4.375,2.7430555555555562,0.0,8.494537037037036,0.0,1.0343981481481481,4.186342592592593,0.3333333333333333,11,0,2,0,1,1,0,1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,1.3589842348525711,2,1.4832,46.312000000000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75004,COc1ccc(cc1)[N-][N+]#N,149.14998,-8.630634996308501,<rdkit.Chem.rdchem.Mol object at 0x131ddf680>,8.073269479087932,8.073269479087932,0.5910185185185186,0.5910185185185186,0.47867358209857463,8.363636363636363,149.153,142.09699999999998,149.058911844,56,0,0.11838122556571844,-0.49676823422766964,0.49676823422766964,0.11838122556571844,1.3636363636363635,2.0,2.4545454545454546,16.465262605852306,10.29176881676341,1.9139767247253432,-1.9766346459649202,2.2087480567376176,-1.7897667142909777,5.508258596496091,0.4146454583688754,2.066172828612932,2.761955923299043,262.00932961051853,8.104448006685086,6.059290153722242,6.059290153722242,5.363703305156275,3.0573464384916926,3.0573464384916926,1.8874680144746006,1.8874680144746006,1.2326144818977944,1.2326144818977944,0.70052738993901,0.70052738993901,-1.7600000000000002,380.17580046477946,7.348225108225108,3.418784463216018,1.8302921660079772,64.39013967184395,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392851322138609,0.0,29.691259670956825,5.687386274683562,12.194772783364343,4.736862953800049,5.687386274683562,5.392851322138609,0.0,0.0,0.0,7.109797541277533,34.77623491304364,0.0,5.749511833283905,4.736862953800049,5.687386274683562,5.749511833283905,0.0,7.109797541277533,0.0,5.392851322138609,0.0,24.26546827384644,0.0,10.510766639197193,0.0,51.480000000000004,0.0,0.0,0.0,0.0,5.687386274683562,5.749511833283905,0.0,31.37526581512397,0.0,10.510766639197193,10.129714275938658,4.912530470521542,0.0,0.0,10.718875582640464,3.9980933484504915,0.7517498110355255,6.866203703703704,0.0,0.0,1.5858804169816074,0.14285714285714285,11,0,4,0,0,0,0,1,0,1,0,0,2,0,4,0,2,0,0,0,0,0,2.283817984746713,1,2.4684800000000005,41.09700000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41470,O=NN1CCC=CC1,112.12982,-9.3996287378215,<rdkit.Chem.rdchem.Mol object at 0x131ddf7d0>,9.801944444444445,9.801944444444445,0.6840277777777778,0.6840277777777778,0.3731138272637754,18.75,112.13199999999999,104.06799999999998,112.063662876,44,0,0.05728443421250037,-0.2567877228408287,0.2567877228408287,0.05728443421250037,1.5,2.375,2.75,16.290069941293172,10.28198352765375,2.0032971949390648,-2.1368594417143445,1.9872660589344124,-2.19652479823411,4.887696960780779,0.31082560494886957,1.9034911933164034,2.3714157955008357,110.99629734317608,5.819990956308912,4.578696363402672,4.578696363402672,3.931851652578137,2.664859632129791,2.664859632129791,1.7543598072882496,1.7543598072882496,1.152175073358557,1.152175073358557,0.7030657551605776,0.7030657551605776,-0.8600000000000001,91.36757727918736,5.280056022408964,2.448193831535354,1.0545602803939687,47.92828697437132,0.0,0.0,0.0,0.0,0.0,0.0,5.008912523954531,0.0,0.0,4.907065243988282,12.152040213667762,6.4208216229260096,6.544756405912575,11.830641126875284,0.0,0.0,0.0,5.008912523954531,5.2858847209627084,6.4208216229260096,13.08951281182515,17.059105457656045,0.0,0.0,0.0,0.0,0.0,0.0,18.09842533577968,0.0,4.907065243988282,6.4208216229260096,17.43792493463047,0.0,0.0,0.0,32.67,0.0,4.907065243988282,0.0,0.0,6.544756405912575,12.965578028838586,5.008912523954531,0.0,6.076020106833881,11.36190482779659,0.0,0.0,0.0,9.801944444444445,4.279583333333333,0.0,0.0,0.0,4.956666666666667,1.4618055555555556,0.0,0.6,8,0,3,0,1,1,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,1.6158250730278403,1,0.9297000000000001,31.124999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27830,O=NN(CC#N)CC#N,124.10076,-10.522098371134,<rdkit.Chem.rdchem.Mol object at 0x131ddf3e0>,9.65861111111111,9.65861111111111,0.12791666666666646,-0.12791666666666668,0.3014097968401115,6.888888888888889,124.10300000000001,120.071,124.038510748,46,0,0.1271696995725886,-0.23261101959592542,0.23261101959592542,0.1271696995725886,1.3333333333333333,1.7777777777777777,2.0,16.290006093584317,10.603707303074836,1.9655559674261733,-2.0164422482701165,1.8289943748614934,-2.160021572682713,4.806717475895109,0.3584266879125925,1.8783623630752435,3.599491870353496,148.38689879982147,7.112884175122364,4.61131623483679,4.61131623483679,4.346065214951232,2.1693500945552366,2.1693500945552366,1.2205547003510464,1.2205547003510464,0.621919564062523,0.621919564062523,0.27688227955982486,0.27688227955982486,-1.62,95.79648051683742,7.379999999999999,4.536739811912225,3.0069592476489024,52.04393840862562,0.0,13.08951281182515,0.0,0.0,0.0,0.0,0.0,5.008912523954531,10.523783109476973,4.907065243988282,0.0,0.0,0.0,17.424327346547255,0.0,0.0,10.523783109476973,5.008912523954531,5.2858847209627084,0.0,13.08951281182515,4.907065243988282,0.0,12.138442625584547,0.0,0.0,0.0,0.0,18.09842533577968,0.0,27.5692909790498,0.0,5.2858847209627084,0.0,0.0,0.0,80.25,0.0,4.907065243988282,0.0,13.08951281182515,0.0,5.008912523954531,0.0,12.138442625584547,0.0,5.2858847209627084,10.523783109476973,0.0,0.0,9.65861111111111,19.228055555555557,0.0,0.0,3.3691666666666666,0.0,-0.25583333333333313,0.0,0.5,9,0,5,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,3.7201266457680244,0,0.01696000000000003,28.593999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
