index,smiles,canonical_smiles,fold
0,C#CC1(CNC1=O)C#C,C#CC1(C#C)CNC1=O,4
1,CC1CC=CCOC=N1,CC1CC=CCOC=N1,3
2,CC1=C2CCC3C(C1)C23,CC1=C2CCC3C(C1)C23,4
3,COC(=O)CN1CC1C,COC(=O)CN1CC1C,3
4,OC1CC23CCCC12O3,OC1CC23CCCC12O3,1
5,CC1=C(C)C2(C)CC1O2,CC1=C(C)C2(C)CC1O2,1
6,CCOCC12CC(C1)O2,CCOCC12CC(C1)O2,4
7,OC1CC11OC2COC12,OC1CC12OC1COC12,3
8,CC12CC(=O)C(O)C1O2,CC12CC(=O)C(O)C1O2,2
9,N#CC12CC(CNC1)N2,N#CC12CNCC(C1)N2,3
10,OC1CCC2CC2CC1,OC1CCC2CC2CC1,0
11,CN1CC2(C1)OC2C#C,C#CC1OC12CN(C)C2,1
12,CC1OC2(CC#C)CC12,C#CCC12CC1C(C)O2,0
13,CC1=CCCN(C1)C=O,CC1=CCCN(C=O)C1,3
14,C1CC(=O)COCC=C1,O=C1CCC=CCOC1,4
15,CCC(C#N)C(=O)C#C,C#CC(=O)C(C#N)CC,4
16,NC(CC#N)C#CC#N,N#CC#CC(N)CC#N,2
17,OC1C2COCC12,OC1C2COCC12,1
18,CC1(C)CC1(C)NC=O,CC1(C)CC1(C)NC=O,3
19,CC1(C=O)C2CC1C2,CC1(C=O)C2CC1C2,2
20,NC(=O)C1NC1C#C,C#CC1NC1C(N)=O,0
21,CNc1conc1C#C,C#Cc1nocc1NC,1
22,CC1CCC(C#N)C1=O,CC1CCC(C#N)C1=O,3
23,C1CC1c2n[nH]nn2,C1CC1c1nn[nH]n1,1
24,CC12CC1C(O)CCO2,CC12CC1C(O)CCO2,4
25,OC(C=O)C1CC=CC1,O=CC(O)C1CC=CC1,1
26,CC(CN1CC1)C(N)=O,CC(CN1CC1)C(N)=O,3
27,CC1CC2(C)C(CO)N12,CC1CC2(C)C(CO)N12,3
28,Cc1cccc(c1)CO,Cc1cccc(CO)c1,2
29,OC12CC(C3CC13)C2=O,O=C1C2CC1(O)C1CC21,4
30,OC12C3CC1(OC23)C#C,C#CC12CC3C(O1)C32O,0
31,COC12CC1OC(C)C2,COC12CC(C)OC1C2,3
32,C#CC1(CCOC1)C#N,C#CC1(C#N)CCOC1,4
33,CC1NC(C)C1=O,CC1NC(C)C1=O,1
34,CC1N2CC2(C)C1=NO,CC1C(=NO)C2(C)CN12,3
35,CCCC1(C)CC2OC12,CCCC1(C)CC2OC21,0
36,C1N2C3C4OCC13C24,C1OC2C3N4CC13C24,4
37,C[NH+]1CC(C)(C1)C([O-])=O,C[NH+]1CC(C)(C(=O)[O-])C1,3
38,COC1CCC(O1)C=O,COC1CCC(C=O)O1,4
39,c1c(c(oc(=O)n1)N)F,Nc1oc(=O)ncc1F,3
40,N=C1OCC2(CO2)CO1,N=C1OCC2(CO1)CO2,1
41,NC(=O)C1(O)C2CC1O2,NC(=O)C1(O)C2CC1O2,2
42,CC(=O)C1(CC1)C#N,CC(=O)C1(C#N)CC1,2
43,CCC12NC(C1O)C2O,CCC12NC(C1O)C2O,4
44,CC1CCN=C(C)O1,CC1=NCCC(C)O1,4
45,NC(=O)C1CC(=O)C1O,NC(=O)C1CC(=O)C1O,2
46,CC1CC(C#N)C(=O)C1,CC1CC(=O)C(C#N)C1,3
47,CC1(CC(=O)C1)OC=O,CC1(OC=O)CC(=O)C1,1
