feature,rank
n_sp2,1.0
n_conj_bond,2.0
BCUT2D_MRHI,3.2
FractionCSP3,4.6
fr_aldehyde,5.2
fr_ketone,6.6
BertzCT,7.2
HallKierAlpha,7.4
VSA_EState2,10.4
r_multiple,10.8
SMR_VSA10,11.0
r_conj_bond,11.2
SlogP_VSA6,13.4
SlogP_VSA2,15.0
max_ring_size,15.4
BCUT2D_MWLOW,16.0
MaxAbsPartialCharge,17.6
MolLogP,19.0
SMR_VSA3,19.8
n_double,21.0
BCUT2D_MWHI,21.8
NumAmideBonds,23.2
fr_epoxide,23.4
PEOE_VSA14,23.6
BCUT2D_MRLOW,24.2
MaxPartialCharge,25.8
SMR_VSA7,26.6
cnt_H,27.2
SlogP_VSA5,30.4
MinAbsPartialCharge,32.0
BCUT2D_LOGPLOW,32.0
cnt_N,33.0
AvgIpc,33.4
TPSA,35.4
n_aromatic_atom,39.4
PEOE_VSA7,41.0
PEOE_VSA6,41.4
MinPartialCharge,41.4
qed,42.6
BCUT2D_CHGLO,42.8
Kappa3,43.8
VSA_EState4,44.0
BCUT2D_CHGHI,46.0
NumHAcceptors,47.4
fr_bicyclic,47.8
PEOE_VSA2,50.2
SlogP_VSA1,50.6
NumAliphaticHeterocycles,51.0
NumSaturatedCarbocycles,52.0
SMR_VSA5,52.4
NumSaturatedRings,53.4
BalabanJ,54.2
VSA_EState5,56.0
MaxAbsEStateIndex,57.0
r_sp2,57.6
SMR_VSA2,58.2
r_sp3,58.4
PEOE_VSA9,59.0
Kappa2,59.4
r_double,60.0
VSA_EState9,60.2
Chi1,60.6
EState_VSA8,60.8
BCUT2D_LOGPHI,63.4
VSA_EState6,63.8
PEOE_VSA11,64.8
PEOE_VSA8,65.6
ring_4,67.2
NumBridgeheadAtoms,68.8
SPS,69.0
ring_5,71.0
fr_Ar_NH,72.8
VSA_EState3,72.8
Kappa1,74.2
Ipc,76.6
VSA_EState7,76.8
PEOE_VSA10,77.0
NumHeterocycles,80.2
FpDensityMorgan3,82.4
PEOE_VSA5,85.2
SMR_VSA6,86.4
FpDensityMorgan2,89.6
NumRotatableBonds,90.4
n_ring_atom,91.2
VSA_EState1,92.8
fr_Ndealkylation2,93.6
SMR_VSA4,94.0
PEOE_VSA4,94.2
SlogP_VSA3,94.4
NumAliphaticRings,95.0
Chi4n,95.6
MinAbsEStateIndex,95.8
VSA_EState8,96.0
EState_VSA2,96.0
NumSaturatedHeterocycles,96.6
Phi,97.6
MinEStateIndex,98.0
PEOE_VSA12,98.2
NumAliphaticCarbocycles,99.4
NumAromaticRings,101.0
n_ring_bond,102.0
ring_3,102.6
n_bonds,102.8
PEOE_VSA13,104.0
n_deg3,104.8
fr_Ar_N,105.4
NumAtomStereoCenters,106.4
fr_Ndealkylation1,108.0
PEOE_VSA3,109.4
fr_lactam,110.0
EState_VSA7,110.2
Chi2n,113.8
Chi3n,114.0
NumValenceElectrons,115.4
fr_pyridine,115.8
EState_VSA9,116.4
EState_VSA4,118.6
EState_VSA6,118.8
fr_ether,119.0
FpDensityMorgan1,120.2
PEOE_VSA1,121.8
EState_VSA3,122.2
MolMR,122.4
SlogP_VSA4,122.4
fr_NH0,123.2
MolWt,123.4
r_ring_atom,127.4
n_sp3,129.4
fr_ester,130.6
Chi0n,130.8
fr_morpholine,131.8
fr_NH1,132.6
ring_6,133.2
SlogP_VSA10,133.2
fr_oxazole,135.4
NumSpiroAtoms,136.0
n_deg2,136.8
fr_piperzine,137.2
fr_piperdine,137.2
SMR_VSA1,137.6
LabuteASA,138.0
Chi1n,138.8
SlogP_VSA8,141.6
fr_amidine,143.4
EState_VSA5,143.8
HeavyAtomMolWt,144.2
fr_Imine,144.8
SlogP_VSA11,145.8
EState_VSA1,146.0
SMR_VSA9,150.2
Chi0,152.2
n_single,152.6
fr_furan,155.0
r_aromatic_atom,155.6
fr_ketone_Topliss,157.4
r_triple,159.0
NOCount,159.4
fr_nitrile,159.4
r_arom_bond,159.6
fr_imidazole,159.8
r_hetero,161.4
fr_Al_OH_noTert,161.6
n_deg4,162.2
fr_methoxy,163.2
fr_tetrazole,164.4
NumAromaticHeterocycles,166.6
fr_priamide,167.0
n_deg1,167.8
fr_aniline,168.0
n_total_atoms,168.8
RingCount,169.9
NumHDonors,170.0
fr_aryl_methyl,170.8
n_sp,172.6
cnt_C,172.6
NHOHCount,173.8
fr_allylic_oxid,174.2
fc_abs_sum,174.8
cnt_O,175.0
fr_Al_COO,175.4
fr_lactone,176.0
n_carbo_ring,176.0
r_sp,177.4
fr_Ar_OH,177.8
fr_HOCCN,177.8
fr_oxime,178.4
EState_VSA10,178.4
fr_imide,182.2
NumHeteroatoms,183.4
ring_8,184.7
fr_unbrch_alkane,185.8
fr_urea,186.6
fr_Al_OH,187.6
ExactMolWt,187.6
fr_NH2,190.6
fr_term_acetylene,191.8
fr_C_O,192.2
fr_ArN,194.6
fr_alkyl_carbamate,195.3
ring_7,195.4
fr_halogen,203.2
n_pos_charge,207.1
fr_Ar_COO,207.1
fr_COO,207.1
HeavyAtomCount,207.1
fr_alkyl_halide,207.1
fr_guanido,207.1
n_arom_bond,207.1
NumAromaticCarbocycles,207.1
fr_nitro,207.1
n_triple,207.1
fr_nitro_arom,207.1
fr_phenol,207.1
fr_phenol_noOrthoHbond,207.1
fr_benzene,207.1
fr_para_hydroxylation,207.1
fr_quatN,209.0
