feature,gain,perm,shap,score,fold
MaxAbsEStateIndex,7553.802145719528,0.002005486567932896,0.005322024268571073,0.7741944377880184,0
MinAbsEStateIndex,11060.904165744781,0.0007145944815580452,0.003018462875114274,0.6382498156682028,0
MinEStateIndex,6883.121367931366,0.00045947696789534477,0.0028249468332676815,0.5668211474654379,0
qed,11097.70759177208,0.002939136997961417,0.006926046685529715,0.8110608801843319,0
SPS,4520.047534704208,0.0011956805700524876,0.003244893445449034,0.6889408387096774,0
MolWt,3750.158470392227,0.0005805906650928838,0.0024505542196123636,0.5691251382488479,0
HeavyAtomMolWt,1418.875717163086,6.83063102538184e-05,0.000951347873009448,0.33410194009216587,0
ExactMolWt,10.907099723815918,1.0541105409783701e-05,4.356997088913778e-05,0.158986267281106,0
NumValenceElectrons,432.9082088470459,0.0005014696328215551,0.0013601208565241136,0.48847964055299536,0
MaxPartialCharge,10363.973081111908,0.00371067864318258,0.013470305409501244,0.8732728433179724,0
MinPartialCharge,8038.471746206284,0.0019566316218782185,0.007491908384005609,0.7949317834101383,0
MaxAbsPartialCharge,6669.573589324951,0.017964511474617438,0.03656692388896885,0.956222059907834,0
MinAbsPartialCharge,3869.5980281829834,0.0017909510561970043,0.010190863218492397,0.8133647880184331,0
FpDensityMorgan1,3356.5074796676636,0.0002882761664593558,0.001367253120779737,0.4354845529953917,0
FpDensityMorgan2,3569.422675848007,0.00042281349532760637,0.002650280071365771,0.5460836543778802,0
FpDensityMorgan3,5101.993491649628,0.0006041035055087852,0.0033093573129701925,0.6221205944700461,0
BCUT2D_MWHI,9446.58792424202,0.005782267295300491,0.014103898530516369,0.8894018617511521,0
BCUT2D_MWLOW,10699.229428768158,0.01144484877912183,0.025128135733426284,0.9262682396313364,0
BCUT2D_CHGHI,7324.763504266739,0.0018957372936641848,0.006753051444776556,0.7764985760368663,0
BCUT2D_CHGLO,8689.720628499985,0.003344757950689464,0.008717744651702051,0.8479271889400921,0
BCUT2D_LOGPHI,7459.423921108246,0.0010578506140931365,0.0042432434609886134,0.6912451244239631,0
BCUT2D_LOGPLOW,10964.234513759613,0.0039545104616304115,0.011210342457740306,0.8709687050691244,0
BCUT2D_MRHI,24776.10374236107,0.09996795855179474,0.1135572363359432,0.9861761105990783,0
BCUT2D_MRLOW,11260.05769944191,0.0066744051097149424,0.01611123957101441,0.905530930875576,0
AvgIpc,8844.93951511383,0.004021178612265403,0.010488797652945227,0.8709686728110599,0
BalabanJ,7940.877901554108,0.0015212939508624291,0.0050693386813555254,0.7396322396313364,0
BertzCT,16529.51363158226,0.03097562929186984,0.0747383046491356,0.9723512211981566,0
Chi0,1834.2768664360046,-8.216232647073051e-05,0.0008442908628991714,0.17511581566820275,0
Chi0n,4589.688632488251,-3.433983161069687e-05,0.0013285839364110793,0.21659061290322582,0
Chi1,5535.866090774536,0.0006308123856268222,0.009576206180432981,0.730415534562212,0
Chi1n,4742.908169269562,0.00016677309552221576,0.0016270123111247932,0.43318048387096775,0
Chi2n,5100.625863790512,0.00046902808911133964,0.0018190293469025677,0.5138256589861752,0
Chi3n,4312.095828533173,0.00019327792142690426,0.0016684582020798282,0.43778875576036863,0
