model_kind,stage,include_fragments,corr_threshold,morgan_kind,radius,fp_size,min_df,n_features,cv_mae
lgb,desc,False,0.95,count,2,2048,1,2179,0.22252517351190337
lgb,desc,False,0.98,count,2,2048,1,2185,0.22247155838867796
lgb,desc,False,0.995,count,2,2048,1,2196,0.2218220512143827
lgb,desc,False,None,count,2,2048,1,2206,0.22151155405910683
lgb,desc,True,0.95,count,2,2048,1,2231,0.2152742647426426
lgb,desc,True,0.98,count,2,2048,1,2240,0.21595300484449198
lgb,desc,True,0.995,count,2,2048,1,2251,0.21545592502790828
lgb,desc,True,None,count,2,2048,1,2262,0.21551004560984102
lgb,morgan,True,0.95,count,2,2048,1,2231,0.2152742647426426
lgb,morgan,True,0.95,count,2,2048,2,2231,0.2152742647426426
lgb,morgan,True,0.95,count,2,2048,5,2231,0.2152742647426426
lgb,morgan,True,0.95,count,2,2048,10,2231,0.2152742647426426
lgb,morgan,True,0.95,binary,2,2048,1,2231,0.21653214069815824
lgb,morgan,True,0.95,binary,2,2048,2,2231,0.21653214069815824
lgb,morgan,True,0.95,binary,2,2048,5,2231,0.21653214069815824
lgb,morgan,True,0.95,binary,2,2048,10,2231,0.21653214069815824
lgb,morgan,True,0.95,count,3,2048,1,2231,0.21782881658800327
lgb,morgan,True,0.95,count,3,2048,2,2231,0.21782881658800327
lgb,morgan,True,0.95,count,3,2048,5,2231,0.21782881658800327
lgb,morgan,True,0.95,count,3,2048,10,2231,0.21782881658800327
xgb,desc,False,0.95,count,2,2048,1,2179,0.22905632483901894
xgb,desc,False,0.98,count,2,2048,1,2185,0.22887288762548447
xgb,desc,False,0.995,count,2,2048,1,2196,0.22911076710501227
xgb,desc,False,None,count,2,2048,1,2206,0.22824554714370698
xgb,desc,True,0.95,count,2,2048,1,2231,0.22540168098164787
xgb,desc,True,0.98,count,2,2048,1,2240,0.22482431175141357
xgb,desc,True,0.995,count,2,2048,1,2251,0.2246487804456961
xgb,desc,True,None,count,2,2048,1,2262,0.22464153522753078
xgb,morgan,True,None,count,2,2048,1,2262,0.22464153522753078
xgb,morgan,True,None,count,2,2048,2,2262,0.22464153522753078
xgb,morgan,True,None,count,2,2048,5,2262,0.22464153522753078
xgb,morgan,True,None,count,2,2048,10,2262,0.22464153522753078
xgb,morgan,True,None,binary,2,2048,1,2262,0.22512942412066989
xgb,morgan,True,None,binary,2,2048,2,2262,0.22512942412066989
xgb,morgan,True,None,binary,2,2048,5,2262,0.22512942412066989
xgb,morgan,True,None,binary,2,2048,10,2262,0.22512942412066989
xgb,morgan,True,None,count,3,2048,1,2262,0.22650945084494825
xgb,morgan,True,None,count,3,2048,2,2262,0.22650945084494825
xgb,morgan,True,None,count,3,2048,5,2262,0.22650945084494825
xgb,morgan,True,None,count,3,2048,10,2262,0.22650945084494825
