number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.22327255304816673,2026-07-22 06:38:51.268934,2026-07-22 06:40:22.964618,0 days 00:01:31.695684,0.5056994021387149,0.18201218126345872,11,11.08625813955638,2700,0.052707846583743403,0.04068229457500925,0.6163641639886454,COMPLETE
1,0.207548939461241,2026-07-22 06:40:22.979785,2026-07-22 06:42:40.051051,0 days 00:02:17.071266,0.8561872870410456,0.041918146970289824,8,11.324334333308267,1800,0.30111222251271,0.05062523846238371,0.8804477878014645,COMPLETE
2,0.22397338697702826,2026-07-22 06:42:40.060834,2026-07-22 06:43:31.190114,0 days 00:00:51.129280,0.9914352732767169,0.18493319815735432,6,5.157220155576732,1100,0.0032465556505996006,0.019432253744815553,0.5329041938936057,COMPLETE
3,0.23739310089399684,2026-07-22 06:43:31.198271,2026-07-22 06:43:59.705079,0 days 00:00:28.506808,0.9923747186426357,0.019607960922462968,6,18.026755092732067,500,0.0013029513369774966,0.025511673320133762,0.6727308059989335,COMPLETE
4,0.21270959726135658,2026-07-22 06:43:59.714594,2026-07-22 06:46:01.221069,0 days 00:02:01.506475,0.6350728707957327,0.09867230020421208,12,7.074106132873526,1400,1.6003815843960982,0.3572360054296637,0.7162379663952079,COMPLETE
5,0.2143953666456569,2026-07-22 06:46:01.229497,2026-07-22 06:47:31.425563,0 days 00:01:30.196066,0.8950862706691428,0.06100417671735413,10,1.6081549720901391,500,9.00297558632331,0.21669963210163248,0.7277239110529665,COMPLETE
6,0.24839203778129693,2026-07-22 06:47:31.434505,2026-07-22 06:47:49.519024,0 days 00:00:18.084519,0.5754850538287481,0.038089879034302325,4,12.914057290249719,500,0.13950096977314377,0.0025208510018424326,0.6076588997363731,COMPLETE
7,0.21895334958333032,2026-07-22 06:47:49.528618,2026-07-22 06:49:28.610285,0 days 00:01:39.081667,0.8309913561372338,0.1669222337389159,12,8.120031595337748,2300,0.11023558750034634,0.07648395311132422,0.7978751229370129,COMPLETE
8,0.24574612557837888,2026-07-22 06:49:28.618697,2026-07-22 06:49:54.662437,0 days 00:00:26.043740,0.7648526583509523,0.012255619180312757,7,9.198378986726855,400,0.24908352992356864,0.7650641761331373,0.5929418427598855,COMPLETE
9,0.20503486588620282,2026-07-22 06:49:54.670209,2026-07-22 06:52:33.205054,0 days 00:02:38.534845,0.7552911233410913,0.03358386146697082,11,12.155476673470647,1200,2.0904830182641247,0.763329498698229,0.8532577717027281,COMPLETE
10,0.24253493676355573,2026-07-22 06:52:33.215574,2026-07-22 06:54:25.448948,0 days 00:01:52.233374,0.7036007671182931,0.018835836596148552,3,19.49711916503737,3000,0.009091458068397206,8.977570615761069,0.9808298872167172,COMPLETE
11,0.20764584293009994,2026-07-22 06:54:25.456777,2026-07-22 06:56:40.640858,0 days 00:02:15.184081,0.8547125472632839,0.037161770250703406,8,14.148202566271838,1700,2.0937090639949756,1.5179088013350501,0.889646309813638,COMPLETE
12,0.2060075649781259,2026-07-22 06:56:40.648327,2026-07-22 06:59:17.210700,0 days 00:02:36.562373,0.7487385724584236,0.03883756311125984,9,15.323103948590381,1900,0.955531442423831,0.004190676896173514,0.875421665752416,COMPLETE
13,0.20650416975756486,2026-07-22 06:59:17.219351,2026-07-22 07:01:08.177799,0 days 00:01:50.958448,0.7057303829825086,0.02380525215782148,10,15.55442614067649,1100,1.333065289652538,0.001090732932918078,0.8482775580266676,COMPLETE
14,0.20800946223260394,2026-07-22 07:01:08.187302,2026-07-22 07:04:42.549790,0 days 00:03:34.362488,0.7630218974703098,0.07383600082117713,9,16.493520082845897,2200,7.329365085403347,0.005214186528544066,0.9812878543649731,COMPLETE
15,0.207672165251704,2026-07-22 07:04:42.558069,2026-07-22 07:06:30.013975,0 days 00:01:47.455906,0.6885732771939912,0.029443070186804202,10,12.755303538645627,1000,0.7074997609293892,5.900390074200181,0.8052765786105196,COMPLETE
16,0.20627646826077278,2026-07-22 07:06:30.021851,2026-07-22 07:10:29.413623,0 days 00:03:59.391772,0.7689705429942828,0.01138457126327947,11,16.57559030444436,2000,3.5338426850423157,0.007611888332000805,0.9191328997069071,COMPLETE
17,0.2076860267693897,2026-07-22 07:10:29.421844,2026-07-22 07:12:09.676250,0 days 00:01:40.254406,0.6145319516370045,0.05556030246058978,9,14.353712944909937,1300,0.5638721640225152,3.5103569763736147,0.8051527742152301,COMPLETE
18,0.209391478842715,2026-07-22 07:12:09.684366,2026-07-22 07:14:14.413739,0 days 00:02:04.729373,0.9217590037823795,0.1103939246427742,11,19.901163218232945,1600,0.0486078230158577,0.17204252448605695,0.9347997028814558,COMPLETE
19,0.20837413888646852,2026-07-22 07:14:14.423661,2026-07-22 07:17:40.412442,0 days 00:03:25.988781,0.8042384775563141,0.01583110752010826,8,9.847588320044753,2500,3.7843314292833603,1.1915868683999657,0.7539204425428646,COMPLETE
20,0.21899657880610546,2026-07-22 07:17:40.420096,2026-07-22 07:19:09.119189,0 days 00:01:28.699093,0.6679966812388254,0.03057066304381453,5,5.928828889415652,2000,0.021150031903883388,0.010678783636956693,0.8385274138999083,COMPLETE
